1911 1 --- --- 0
1911 7 --- --- 0
1912 1 --- --- 0
1912 7 --- --- 0
1913 1 --- --- 0
1913 7 --- --- 0
1914 1 4.4 0.1 2.25
1914 7 17.7 8.8 13.25
1915 1 4.1 -0.8 1.65
1915 7 16.1 7.1 11.6
1916 1 7.6 2.5 5.05
1916 7 17.4 8.4 12.9
1917 1 2.0 -1.7 0.15
1917 7 18.1 7.8 12.95
1918 1 3.8 -2.2 0.8
1918 7 17.0 7.3 12.15
1919 1 3.5 -0.9 1.3
1919 7 17.1 6.1 11.6
1920 1 4.9 -0.7 2.1
1920 7 14.8 8.0 11.4
1921 1 7.3 1.5 4.4
1921 7 19.3 9.0 14.15
1922 1 3.7 -1.6 1.05
1922 7 14.6 6.2 10.4
1923 1 7.1 1.8 4.45
1923 7 18.0 10.7 14.35
1924 1 5.3 -0.2 2.55
1924 7 15.9 8.9 12.4
1925 1 6.1 1.4 3.75
1925 7 19.2 9.0 14.1
1926 1 5.3 0.7 3
1926 7 18.6 9.8 14.2
1927 1 4.9 0.1 2.5
1927 7 18.0 10.1 14.05
1928 1 5.8 0.3 3.05
1928 7 15.8 8.6 12.2
1929 1 2.6 -2.5 0.05
1929 7 17.2 8.3 12.75
1930 1 5.3 0.2 2.75
1930 7 16.4 9.4 12.9
1931 1 3.8 -1.9 0.95
1931 7 16.3 9.8 13.05
1932 1 7.3 1.7 4.5
1932 7 16.8 10.0 13.4
1933 1 3.7 -2.7 0.5
1933 7 19.9 10.4 15.15
1934 1 5.7 -0.1 2.8
1934 7 20.4 10.0 15.2
1935 1 5.6 0.1 2.85
1935 7 18.6 8.2 13.4
1936 1 3.2 -1.4 0.9
1936 7 16.8 9.2 13
1937 1 5.7 0.6 3.15
1937 7 17.6 9.2 13.4
1938 1 6.1 1.1 3.6
1938 7 16.0 7.6 11.8
1939 1 3.9 -1.2 1.35
1939 7 17.1 8.8 12.95
1940 1 0.8 -6.3 -2.75
1940 7 16.4 7.9 12.15
1941 1 0.6 -4.3 -1.85
1941 7 18.2 8.4 13.3
1942 1 2.1 -2.8 -0.35
1942 7 17.2 7.6 12.4
1943 1 4.7 0.1 2.4
1943 7 17.8 8.0 12.9
1944 1 6.6 1.1 3.85
1944 7 17.7 9.8 13.75
1945 1 1.9 -4.3 -1.2
1945 7 18.6 8.9 13.75
1946 1 4.0 -2.8 0.6
1946 7 16.6 9.1 12.85
1947 1 3.3 -1.4 0.95
1947 7 17.7 9.8 13.75
1948 1 3.9 0.1 2
1948 7 17.7 9.0 13.35
1949 1 6.1 0.3 3.2
1949 7 18.6 8.7 13.65
1950 1 4.8 0.3 2.55
1950 7 17.2 9.0 13.1
1951 1 3.6 -0.6 1.5
1951 7 17.5 9.2 13.35
1952 1 2.3 -3.9 -0.8
1952 7 18.1 8.7 13.4
1953 1 5.0 0.4 2.7
1953 7 16.6 8.7 12.65
1954 1 4.0 -1.0 1.5
1954 7 15.2 7.8 11.5
1955 1 2.6 -2.2 0.2
1955 7 21.9 9.0 15.45
1956 1 3.5 -2.5 0.5
1956 7 16.9 9.3 13.1
1957 1 6.4 -0.4 3
1957 7 18.1 10.2 14.15
1958 1 4.0 -2.7 0.65
1958 7 18.3 9.3 13.8
1959 1 2.8 -4.7 -0.95
1959 7 18.3 8.5 13.4
1960 1 4.7 -1.6 1.55
1960 7 16.9 8.4 12.65
1961 1 4.0 -2.2 0.9
1961 7 16.2 8.4 12.3
1962 1 5.1 -1.4 1.85
1962 7 16.2 7.8 12
1963 1 0.8 -5.2 -2.2
1963 7 17.2 8.0 12.6
1964 1 5.5 -0.6 2.45
1964 7 17.0 8.6 12.8
1965 1 3.9 -2.2 0.85
1965 7 15.3 6.9 11.1
1966 1 3.4 -1.0 1.2
1966 7 17.2 7.8 12.5
1967 1 5.1 0.4 2.75
1967 7 16.4 9.1 12.75
1968 1 5.1 -0.8 2.15
1968 7 16.5 8.7 12.6
1969 1 5.6 0.4 3
1969 7 17.6 9.4 13.5
1970 1 4.3 -1.7 1.3
1970 7 15.8 8.6 12.2
1971 1 5.4 -0.1 2.65
1971 7 18.9 8.9 13.9
1972 1 4.4 0.4 2.4
1972 7 18.3 8.9 13.6
1973 1 4.9 -0.3 2.3
1973 7 17.8 8.8 13.3
1974 1 6.3 1.0 3.65
1974 7 16.3 8.6 12.45
1975 1 7.1 1.3 4.2
1975 7 18.8 10.0 14.4
1976 1 6.4 1.7 4.05
1976 7 20.8 9.5 15.15
1977 1 3.1 -2.9 0.0999999
1977 7 18.5 9.3 13.9
1978 1 3.5 -2.5 0.5
1978 7 17.0 7.5 12.25
1979 1 1.4 -5.7 -2.15
1979 7 16.6 8.7 12.65
1980 1 2.8 -2.3 0.25
1980 7 16.3 8.2 12.25
1981 1 5.3 -0.6 2.35
1981 7 16.9 8.6 12.75
1982 1 3.5 -3.0 0.25
1982 7 19.1 9.3 14.2
1983 1 6.7 1.9 4.3
1983 7 21.7 10.6 16.15
1984 1 3.1 -2.2 0.45
1984 7 20.4 8.6 14.5
1985 1 2.2 -3.1 -0.45
1985 7 16.4 9.4 12.9
1986 1 3.6 -2.0 0.8
1986 7 16.1 8.9 12.5
1987 1 2.2 -3.9 -0.85
1987 7 17.6 9.3 13.45
1988 1 5.1 0.6 2.85
1988 7 15.1 9.4 12.25
1989 1 7.5 2.6 5.05
1989 7 21.5 8.9 15.2
1990 1 6.7 2.0 4.35
1990 7 18.5 8.9 13.7
1991 1 3.3 -1.8 0.75
1991 7 19.0 11.1 15.05
1992 1 5.5 -1.5 2
1992 7 16.5 9.1 12.8
1993 1 5.9 0.3 3.1
1993 7 15.6 9.0 12.3
1994 1 4.8 0.0 2.4
1994 7 18.6 9.5 14.05
1995 1 4.6 -1.5 1.55
1995 7 19.6 10.0 14.8
1996 1 4.7 2.0 3.35
1996 7 17.9 8.5 13.2
1997 1 3.6 -1.2 1.2
1997 7 19.3 9.2 14.25
1998 1 5.6 0.0 2.8
1998 7 16.1 9.6 12.85
1999 1 5.5 0.2 2.85
1999 7 18.9 10.1 14.5
2000 1 6.0 -0.4 2.8
2000 7 17.7 8.7 13.2
2001 1 4.2 -0.9 1.65
2001 7 17.8 9.9 13.85
2002 1 6.6 0.8 3.7
2002 7 16.5 9.0 12.75
2003 1 5.0 -0.1 2.45
2003 7 18.7 11.1 14.9
